0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:33 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.css HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:33 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:33 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:33 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:33 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:42 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:42 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:42 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:45 +0530] "GET /shoppingcart/selViewProduct HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:50 +0530] "GET /shoppingcart/clickAdmin HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:50 +0530] "GET /shoppingcart/FontAwesome/css/font-awesome.min.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [17/Mar/2017:08:33:50 +0530] "GET /shoppingcart/Bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1076
